来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title
外文期刊,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,Lei Tian;Chengshen Lao;Zhanhao Yang,School of Electronic Engineering;Xi’an University of Posts and Telecommunications;West Chang’an Street;710121;Xi’an;Shaanxi;China,The Journal of Supercomputing,,2025/12/29,2025,10.1007/S11227-025-08149-Y,Key Research and Development Program of Shaanxi Program;Science and Technology Project of Xi'an city;Natural Science Basic Research Program of Shaanxi;Scientific Research Program of Shaanxi Provincial Education Department,,english,CNKI-20260327180524663.csv,10.1007/S11227-025-08149-Y,10.26914/c.cnkihy.2025.077503,人工智能在电力负荷预测中的应用研究
外文期刊,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,Lei Tian;Chengshen Lao;Zhanhao Yang,School of Electronic Engineering;Xi’an University of Posts and Telecommunications;West Chang’an Street;710121;Xi’an;Shaanxi;China,The Journal of Supercomputing,,2025/12/29,2025,10.1007/S11227-025-08149-Y,Key Research and Development Program of Shaanxi Program;Science and Technology Project of Xi'an city;Natural Science Basic Research Program of Shaanxi;Scientific Research Program of Shaanxi Provincial Education Department,,english,CNKI-20260327180524663.csv,10.1007/S11227-025-08149-Y,10.19725/j.cnki.1007-2322.2024.0085,计及混合储能单元多重异构特性的微电网调度策略研究
外文期刊,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,Lei Tian;Chengshen Lao;Zhanhao Yang,School of Electronic Engineering;Xi’an University of Posts and Telecommunications;West Chang’an Street;710121;Xi’an;Shaanxi;China,The Journal of Supercomputing,"Power load forecasting is a core task of power system management, and its accuracy directly affects energy dispatch efficiency, operation cost optimization, and grid stability maintenance. In order to improve the performance of load forecasting, this paper proposes a hybrid model (CEEMDAN-SE-xLSTM-Transformer), which integrates a fully integrated empirical modal decomposition with the adaptive noise algorithm (CEEMDAN) and the sample entropy method (SE) to improve the xLSTM-Transformer architecture. Specifically, CEEMDAN-SE is first utilized to decompose the load sequence into multiple power load subsequences with significant differences in complexity. Then, to address the limitations of the traditional transformer in long-distance dependency capture and local temporal dynamics modeling, the xLSTM-Transformer module is designed to enhance the local feature interactions through a gating mechanism with memory units and capture the global dependencies using multi-head attention. Finally, the forecast results of ...",2025/12/29,2025,10.1007/S11227-025-08149-Y,Key Research and Development Program of Shaanxi Program;Science and Technology Project of Xi'an city;Natural Science Basic Research Program of Shaanxi;Scientific Research Program of Shaanxi Provincial Education Department,,english,raw_data(CNKI).csv,10.1007/S11227-025-08149-Y,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究
外文期刊,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer,Lei Tian;Chengshen Lao;Zhanhao Yang,School of Electronic Engineering;Xi’an University of Posts and Telecommunications;West Chang’an Street;710121;Xi’an;Shaanxi;China,The Journal of Supercomputing,"Power load forecasting is a core task of power system management, and its accuracy directly affects energy dispatch efficiency, operation cost optimization, and grid stability maintenance. In order to improve the performance of load forecasting, this paper proposes a hybrid model (CEEMDAN-SE-xLSTM-Transformer), which integrates a fully integrated empirical modal decomposition with the adaptive noise algorithm (CEEMDAN) and the sample entropy method (SE) to improve the xLSTM-Transformer architecture. Specifically, CEEMDAN-SE is first utilized to decompose the load sequence into multiple power load subsequences with significant differences in complexity. Then, to address the limitations of the traditional transformer in long-distance dependency capture and local temporal dynamics modeling, the xLSTM-Transformer module is designed to enhance the local feature interactions through a gating mechanism with memory units and capture the global dependencies using multi-head attention. Finally, the forecast results of ...",2025/12/29,2025,10.1007/S11227-025-08149-Y,Key Research and Development Program of Shaanxi Program;Science and Technology Project of Xi'an city;Natural Science Basic Research Program of Shaanxi;Scientific Research Program of Shaanxi Provincial Education Department,,english,raw_data(CNKI).csv,10.1007/S11227-025-08149-Y,基于云计算的电力系统短期负荷预测研究,基于云计算的电力系统短期负荷预测研究
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025,10.3390/EN19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,10.27753/d.cnki.gcqgx.2025.001522,考虑需求侧响应的微电网经济优化调度研究
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025,10.3390/EN19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025,10.3390/EN19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,10.19389/j.cnki.1003-0506.2025.03.034,基于改进哈里斯鹰算法的多能源微电网智能优化调度
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025,10.3390/EN19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,10.1080/15567249.2025.2531448,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model
外文期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,,2025/12/22,2025,10.3390/EN19010061,,,english,CNKI-20260327180524663.csv,10.3390/EN19010061,10.19389/j.cnki.1003-0506.2025.03.034,基于改进哈里斯鹰算法的多能源微电网智能优化调度
期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,"Energy storage systems enhance grid efficiency by mitigating peak demand and balancing generation variability. This work addresses the challenge of achieving optimal peak shaving without prior knowledge of the actual load profile. To this end, we introduce the Forecast-Integrated Shortest Path (FISP) framework, which integrates load forecasting with the shortest-path optimization algorithm to determine optimal generation and storage strategies under forecast uncertainty. A penalty-based metric is proposed to quantify the deviation between forecast-driven and ideal operation, providing a unified measure of forecast-to-optimization performance. The proposed approach is validated using real load data from the European Network of Transmission System Operators for Electricity (ENTSO-E) and evaluated with two forecasting techniques—Long Short-Term Memory (LSTM) networks and Autoregressive Moving Average (ARMA) models. The results show that LSTM-based forecasts yield substantially lower penalties than ARMA, demonstr...",2025/12/22,2025,10.3390/EN19010061,,,english,raw_data(CNKI).csv,10.3390/EN19010061,10.1002/ENG2.70570,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy
期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,"Energy storage systems enhance grid efficiency by mitigating peak demand and balancing generation variability. This work addresses the challenge of achieving optimal peak shaving without prior knowledge of the actual load profile. To this end, we introduce the Forecast-Integrated Shortest Path (FISP) framework, which integrates load forecasting with the shortest-path optimization algorithm to determine optimal generation and storage strategies under forecast uncertainty. A penalty-based metric is proposed to quantify the deviation between forecast-driven and ideal operation, providing a unified measure of forecast-to-optimization performance. The proposed approach is validated using real load data from the European Network of Transmission System Operators for Electricity (ENTSO-E) and evaluated with two forecasting techniques—Long Short-Term Memory (LSTM) networks and Autoregressive Moving Average (ARMA) models. The results show that LSTM-based forecasts yield substantially lower penalties than ARMA, demonstr...",2025/12/22,2025,10.3390/EN19010061,,,english,raw_data(CNKI).csv,10.3390/EN19010061,10.1109/TPWRS.2023.3266763,A Distributed-MPC Framework for Voltage Control Under Discrete Time-Wise
期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,"Energy storage systems enhance grid efficiency by mitigating peak demand and balancing generation variability. This work addresses the challenge of achieving optimal peak shaving without prior knowledge of the actual load profile. To this end, we introduce the Forecast-Integrated Shortest Path (FISP) framework, which integrates load forecasting with the shortest-path optimization algorithm to determine optimal generation and storage strategies under forecast uncertainty. A penalty-based metric is proposed to quantify the deviation between forecast-driven and ideal operation, providing a unified measure of forecast-to-optimization performance. The proposed approach is validated using real load data from the European Network of Transmission System Operators for Electricity (ENTSO-E) and evaluated with two forecasting techniques—Long Short-Term Memory (LSTM) networks and Autoregressive Moving Average (ARMA) models. The results show that LSTM-based forecasts yield substantially lower penalties than ARMA, demonstr...",2025/12/22,2025,10.3390/EN19010061,,,english,raw_data(CNKI).csv,10.3390/EN19010061,10.19783/j.cnki.pspc.241701,基于VMD-SE-CNN-BiLSTM的电动汽车充电负荷短期预测
期刊,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,Lidor Goldshmidt;Tom Dovlekaev;Ram Machlev,The Andrew and Erna Viterbi Faculty of Electrical and Computer Engineering; Technion—Israel Institute of Technology; Haifa 3200003; Israel,Energies,"Energy storage systems enhance grid efficiency by mitigating peak demand and balancing generation variability. This work addresses the challenge of achieving optimal peak shaving without prior knowledge of the actual load profile. To this end, we introduce the Forecast-Integrated Shortest Path (FISP) framework, which integrates load forecasting with the shortest-path optimization algorithm to determine optimal generation and storage strategies under forecast uncertainty. A penalty-based metric is proposed to quantify the deviation between forecast-driven and ideal operation, providing a unified measure of forecast-to-optimization performance. The proposed approach is validated using real load data from the European Network of Transmission System Operators for Electricity (ENTSO-E) and evaluated with two forecasting techniques—Long Short-Term Memory (LSTM) networks and Autoregressive Moving Average (ARMA) models. The results show that LSTM-based forecasts yield substantially lower penalties than ARMA, demonstr...",2025/12/22,2025,10.3390/EN19010061,,,english,raw_data(CNKI).csv,10.3390/EN19010061,10.27763/d.cnki.gahgc.2024.000190,基于多目标优化算法的电力系统优化调度研究
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy",,2025/12/31,2025,10.1080/15567249.2025.2531448,,,english,CNKI-20260327180524663.csv,10.1080/15567249.2025.2531448,10.19912/j.0254-0096.tynxb.2023-1790,考虑分时电价下基于改进蛇算法的混合能源微电网群低碳经济优化调度研究
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy",,2025/12/31,2025,10.1080/15567249.2025.2531448,,,english,CNKI-20260327180524663.csv,10.1080/15567249.2025.2531448,10.27753/d.cnki.gcqgx.2025.001522,考虑需求侧响应的微电网经济优化调度研究
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy","Accurate electricity demand forecasting is essential for ensuring the reliability, efficiency, and sustainability of modern power systems. In this study, a hybrid deep learning model combining Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM) units is proposed to predict short-term electricity demand with high precision. The model utilizes historical consumption and generation data to capture both short-term fluctuations and long-term temporal dependencies in electricity usage patterns. Comprehensive experiments were conducted, and the model’s performance was evaluated using standard metrics such as R2, Mean Absolute Error (MAE), Mean Squared Error (MSE), and Root Mean Squared Error (RMSE). The proposed RNN-LSTM model achieved remarkable results, with an R2 score of 0.9901, MAE of 0.0123, and RMSE of 0.0187, outperforming standalone RNN, LSTM, and several benchmark models in the literature. The results demonstrate the model’s ability to accurately learn complex demand dyn...",2025/12/31,2025,10.1080/15567249.2025.2531448,,,english,raw_data(CNKI).csv,10.1080/15567249.2025.2531448,10.27029/d.cnki.ggdgu.2025.001070,新能源微电网群多尺度鲁棒动态调控研究
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy","Accurate electricity demand forecasting is essential for ensuring the reliability, efficiency, and sustainability of modern power systems. In this study, a hybrid deep learning model combining Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM) units is proposed to predict short-term electricity demand with high precision. The model utilizes historical consumption and generation data to capture both short-term fluctuations and long-term temporal dependencies in electricity usage patterns. Comprehensive experiments were conducted, and the model’s performance was evaluated using standard metrics such as R2, Mean Absolute Error (MAE), Mean Squared Error (MSE), and Root Mean Squared Error (RMSE). The proposed RNN-LSTM model achieved remarkable results, with an R2 score of 0.9901, MAE of 0.0123, and RMSE of 0.0187, outperforming standalone RNN, LSTM, and several benchmark models in the literature. The results demonstrate the model’s ability to accurately learn complex demand dyn...",2025/12/31,2025,10.1080/15567249.2025.2531448,,,english,raw_data(CNKI).csv,10.1080/15567249.2025.2531448,10.19457/j.1001-2095.dqcd24909,基于峰谷电价与储能SOC状态的微电网能量调度策略研究
外文期刊,Optimizing electricity demand forecasting with a novel RNN-LSTM hybrid model,Y?ld?r?m ?züpak;Shuhratjon Mansurov,Silvan Vocational School; Dicle University; Diyarbak?r; Türkiye;Department of Renewable Energy Resources; Dicle University; Diyarbak?r; Türkiye,"Energy Sources, Part B: Economics, Planning, and Policy","Accurate electricity demand forecasting is essential for ensuring the reliability, efficiency, and sustainability of modern power systems. In this study, a hybrid deep learning model combining Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM) units is proposed to predict short-term electricity demand with high precision. The model utilizes historical consumption and generation data to capture both short-term fluctuations and long-term temporal dependencies in electricity usage patterns. Comprehensive experiments were conducted, and the model’s performance was evaluated using standard metrics such as R2, Mean Absolute Error (MAE), Mean Squared Error (MSE), and Root Mean Squared Error (RMSE). The proposed RNN-LSTM model achieved remarkable results, with an R2 score of 0.9901, MAE of 0.0123, and RMSE of 0.0187, outperforming standalone RNN, LSTM, and several benchmark models in the literature. The results demonstrate the model’s ability to accurately learn complex demand dyn...",2025/12/31,2025,10.1080/15567249.2025.2531448,,,english,raw_data(CNKI).csv,10.1080/15567249.2025.2531448,10.16628/j.cnki.2095-8188.2025.11.006,基于ADKDE-LSTM的变电站短期负荷功率区间预测研究
,Parallel Multi-Model Energy Demand Forecasting with Cloud Redundancy:,"Baesmat, KH",,,"In this work, we present a novel approach for predicting short-term electrical energy consumption. Most energy consumption methods work well for their case study datasets. The proposed method utilizes a cloud computing platform that allows for integrating information from different sources, such as weather data and historical energy consumption, while employing machine learning techniques to achieve higher accuracy in forecasting. We collected detailed weather data from the ""Weather Underground Company"" website, known for its accurate records. Then, we studied past energy consumption data provided by PJM (focusing on DEO&K, which serves Cincinnati and northern Kentucky) and identified features that significantly impact energy consumption. We also introduced a processing step to ensure accurate predictions for holidays. Our goal is to predict the next 24 h of load consumption. We developed a hybrid, generalizable forecasting methodology with deviation correction. The methodology is characterized by fault tolerance due to distributed cloud deployment and an introduced voting mechanism. The proposed approach improved the accuracy of LSTM, SARIMAX, and SARIMAX + SVM, with MAPE values of 5.17%, 4.21%, and 2.21% reduced to 1.65%, 1.00%, and 0.88%, respectively, using our CM-LSTM-DC, CM-SARIMAX-DC, and CM-SARIMAX + SVM-DC models.",,2025,10.3390/forecast7020025,,,english,raw_data（wos).csv,10.3390/forecast7020025,10.27123/d.cnki.ghlju.2025.001668,基于联邦强化学习的微电网储能调度方法的研究与应用
,Parallel Multi-Model Energy Demand Forecasting with Cloud Redundancy:,"Baesmat, KH",,,"In this work, we present a novel approach for predicting short-term electrical energy consumption. Most energy consumption methods work well for their case study datasets. The proposed method utilizes a cloud computing platform that allows for integrating information from different sources, such as weather data and historical energy consumption, while employing machine learning techniques to achieve higher accuracy in forecasting. We collected detailed weather data from the ""Weather Underground Company"" website, known for its accurate records. Then, we studied past energy consumption data provided by PJM (focusing on DEO&K, which serves Cincinnati and northern Kentucky) and identified features that significantly impact energy consumption. We also introduced a processing step to ensure accurate predictions for holidays. Our goal is to predict the next 24 h of load consumption. We developed a hybrid, generalizable forecasting methodology with deviation correction. The methodology is characterized by fault tolerance due to distributed cloud deployment and an introduced voting mechanism. The proposed approach improved the accuracy of LSTM, SARIMAX, and SARIMAX + SVM, with MAPE values of 5.17%, 4.21%, and 2.21% reduced to 1.65%, 1.00%, and 0.88%, respectively, using our CM-LSTM-DC, CM-SARIMAX-DC, and CM-SARIMAX + SVM-DC models.",,2025,10.3390/forecast7020025,,,english,raw_data（wos).csv,10.3390/forecast7020025,10.19389/j.cnki.1003-0506.2025.03.034,基于改进哈里斯鹰算法的多能源微电网智能优化调度
,Parallel Multi-Model Energy Demand Forecasting with Cloud Redundancy:,"Baesmat, KH",,,"In this work, we present a novel approach for predicting short-term electrical energy consumption. Most energy consumption methods work well for their case study datasets. The proposed method utilizes a cloud computing platform that allows for integrating information from different sources, such as weather data and historical energy consumption, while employing machine learning techniques to achieve higher accuracy in forecasting. We collected detailed weather data from the ""Weather Underground Company"" website, known for its accurate records. Then, we studied past energy consumption data provided by PJM (focusing on DEO&K, which serves Cincinnati and northern Kentucky) and identified features that significantly impact energy consumption. We also introduced a processing step to ensure accurate predictions for holidays. Our goal is to predict the next 24 h of load consumption. We developed a hybrid, generalizable forecasting methodology with deviation correction. The methodology is characterized by fault tolerance due to distributed cloud deployment and an introduced voting mechanism. The proposed approach improved the accuracy of LSTM, SARIMAX, and SARIMAX + SVM, with MAPE values of 5.17%, 4.21%, and 2.21% reduced to 1.65%, 1.00%, and 0.88%, respectively, using our CM-LSTM-DC, CM-SARIMAX-DC, and CM-SARIMAX + SVM-DC models.",,2025,10.3390/forecast7020025,,,english,raw_data（wos).csv,10.3390/forecast7020025,10.27327/d.cnki.gshnu.2025.001911,基于VMD-IPO-CNN-ATT-BiLSTM混合模型的短期电力负荷预测
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,,2025/12/22,2025,10.1007/S44163-025-00696-W,,,english,CNKI-20260327180524663.csv,10.1007/S44163-025-00696-W,10.1016/j.rineng.2024.102766,Transforming smart homes via P2P energy trading using robust forecasting
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,,2025/12/22,2025,10.1007/S44163-025-00696-W,,,english,CNKI-20260327180524663.csv,10.1007/S44163-025-00696-W,10.26918/d.cnki.ghngc.2025.001579,基于合作博弈的风光储微电网群能量管理研究
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,,2025/12/22,2025,10.1007/S44163-025-00696-W,,,english,CNKI-20260327180524663.csv,10.1007/S44163-025-00696-W,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,"This study proposes a novel forecasting framework based on a parallel multi-input Bi-GRU architecture combined with a sliding window-based Multi-Input Multi-Output (MIMO) prediction strategy. The key innovation lies in the feature-specific Bi-GRU encoding, where historical load, weather, and calendar data are independently processed before fusion, allowing the model to better capture temporal dependencies across diverse input types. Unlike prior models, our approach uniquely combines a structured feature-specific Bi-GRU encoding with interpretability using SHAP analysis, offering both enhanced predictive accuracy and transparent model decision-making for real-world deployment in power systems. The proposed Bi-GRU MIMO model serves as the core architecture. To benchmark its effectiveness, an attention-enhanced LSTM model is included strictly for comparative analysis. Experiments on real-world data from Singapore’s National Electricity Market System (NEMS) show that the Bi-GRU MIMO model improves prediction acc...",2025/12/22,2025,10.1007/S44163-025-00696-W,,,english,raw_data(CNKI).csv,10.1007/S44163-025-00696-W,10.26914/c.cnkihy.2025.077503,人工智能在电力负荷预测中的应用研究
外文期刊,Research on explainable BiGRU deep learning framework for short term load forecasting in smart power systems,Zhiwei Wang;Mengzhou Xu;Jingchang Hao;Wei Li;Shiyao Cheng,State Grid Customer Service Center Marketing Business Support Center;100000;Beijing;China,Discover Artificial Intelligence,"This study proposes a novel forecasting framework based on a parallel multi-input Bi-GRU architecture combined with a sliding window-based Multi-Input Multi-Output (MIMO) prediction strategy. The key innovation lies in the feature-specific Bi-GRU encoding, where historical load, weather, and calendar data are independently processed before fusion, allowing the model to better capture temporal dependencies across diverse input types. Unlike prior models, our approach uniquely combines a structured feature-specific Bi-GRU encoding with interpretability using SHAP analysis, offering both enhanced predictive accuracy and transparent model decision-making for real-world deployment in power systems. The proposed Bi-GRU MIMO model serves as the core architecture. To benchmark its effectiveness, an attention-enhanced LSTM model is included strictly for comparative analysis. Experiments on real-world data from Singapore’s National Electricity Market System (NEMS) show that the Bi-GRU MIMO model improves prediction acc...",2025/12/22,2025,10.1007/S44163-025-00696-W,,,english,raw_data(CNKI).csv,10.1007/S44163-025-00696-W,10.19911/j.1003-0417.tyn20231115.01,风-光-柴-储微电网能量管理的日前优化调度策略分析
外文期刊,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,Mehdi Mohammadian Mehr;Hossein Farzin;Elaheh Mashhour,Department of Electrical Engineering;Faculty of Engineering; Shahid Chamran University of Ahvaz;Ahvaz;Iran,Engineering Reports,,2025/12/23,2025,10.1002/ENG2.70570,"Research Council of Shahid Chamran University of Ahvaz, Iran(SCU.EE1404.37219)",,english,CNKI-20260327180524663.csv,10.1002/ENG2.70570,融合VMD-MPC算法的多微电网能量调度技术优化,融合VMD-MPC算法的多微电网能量调度技术优化
外文期刊,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,Mehdi Mohammadian Mehr;Hossein Farzin;Elaheh Mashhour,Department of Electrical Engineering;Faculty of Engineering; Shahid Chamran University of Ahvaz;Ahvaz;Iran,Engineering Reports,,2025/12/23,2025,10.1002/ENG2.70570,"Research Council of Shahid Chamran University of Ahvaz, Iran(SCU.EE1404.37219)",,english,CNKI-20260327180524663.csv,10.1002/ENG2.70570,10.26918/d.cnki.ghngc.2025.001579,基于合作博弈的风光储微电网群能量管理研究
期刊,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,Mehdi Mohammadian Mehr;Hossein Farzin;Elaheh Mashhour,Department of Electrical Engineering;Faculty of Engineering; Shahid Chamran University of Ahvaz;Ahvaz;Iran,Engineering Reports,"This paper introduces FG‐LSTM‐TA, a hybrid deep learning model that integrates feature‐gated LSTM networks with a temporal attention mechanism for high‐accuracy short‐term residential load forecasting. The architecture combines selective feature gating, sequential temporal modeling, and attention‐based context weighting to enhance learning efficiency and adaptivity. The model was evaluated using real‐world 30‐min interval electricity consumption data from Ahvaz, Iran, across four scenarios involving both individual and aggregated households. Experimental results demonstrate that FG‐LSTM‐TA consistently outperforms baseline models (LSTM and CNN) and advanced benchmarks (GRU, Transformer, and CNN‐LSTM), achieving R2 scores up to 98%, lower training losses, and shorter computation times. Compared to other models, it maintains robust performance even in high‐noise or low‐amplitude environments. A compact sensitivity analysis further confirms the model's responsiveness to dominant temporal and weather‐r...",2025/12/23,2025,10.1002/ENG2.70570,"Research Council of Shahid Chamran University of Ahvaz, Iran(SCU.EE1404.37219)",,english,raw_data(CNKI).csv,10.1002/ENG2.70570,10.19783/j.cnki.pspc.241701,基于VMD-SE-CNN-BiLSTM的电动汽车充电负荷短期预测
期刊,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,Mehdi Mohammadian Mehr;Hossein Farzin;Elaheh Mashhour,Department of Electrical Engineering;Faculty of Engineering; Shahid Chamran University of Ahvaz;Ahvaz;Iran,Engineering Reports,"This paper introduces FG‐LSTM‐TA, a hybrid deep learning model that integrates feature‐gated LSTM networks with a temporal attention mechanism for high‐accuracy short‐term residential load forecasting. The architecture combines selective feature gating, sequential temporal modeling, and attention‐based context weighting to enhance learning efficiency and adaptivity. The model was evaluated using real‐world 30‐min interval electricity consumption data from Ahvaz, Iran, across four scenarios involving both individual and aggregated households. Experimental results demonstrate that FG‐LSTM‐TA consistently outperforms baseline models (LSTM and CNN) and advanced benchmarks (GRU, Transformer, and CNN‐LSTM), achieving R2 scores up to 98%, lower training losses, and shorter computation times. Compared to other models, it maintains robust performance even in high‐noise or low‐amplitude environments. A compact sensitivity analysis further confirms the model's responsiveness to dominant temporal and weather‐r...",2025/12/23,2025,10.1002/ENG2.70570,"Research Council of Shahid Chamran University of Ahvaz, Iran(SCU.EE1404.37219)",,english,raw_data(CNKI).csv,10.1002/ENG2.70570,10.1049/RPG2.70162,DBSRad‐LSTM: DBSCAN Clustering for Load Forecasting in Microgrids Using Radial LSTM
