来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title
外文期刊,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,Zhenlan Dou;Shuangzeng Tian;Fanyue Qian;Yongwen Yang,State Grid Shanghai Electric Power Company; Shanghai 200120; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Sustainability,"Accurate multi-energy load forecasting is essential for the low-carbon, efficient, and resilient operation of park-level Integrated Energy Systems (PIESs), where cooling, heating, and electricity networks interact closely and increasingly incorporate renewable energy resources. However, forecasting in such systems remains challenging due to complex cross-energy coupling, high-dimensional feature interactions, and pronounced nonlinearities under diverse meteorological and operational conditions. To address these challenges, this study develops a novel three-stage hybrid forecasting framework that integrates Recursive Feature Elimination with Cross-Validation (RFECV), a Multi-Task Long Short-Term Memory network (MTL-LSTM), and Random Forest (RF). In the first stage, RFECV performs adaptive and interpretable feature selection, ensuring robust model inputs and capturing meteorological drivers relevant to renewable energy dynamics. The second stage employs MTL-LSTM to jointly learn shared temporal dependencies and...",2025/12/12,2025,10.3390/SU172411158,This project is supported by the Artificial Empowerment Research Leap Plan of the Shanghai Municipal Education Commission in China (No. Z2024-117).,,english,raw_data(CNKI).csv,10.3390/SU172411158,10.1038/S41598-025-28907-5,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure"
外文期刊,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,Zhenlan Dou;Shuangzeng Tian;Fanyue Qian;Yongwen Yang,State Grid Shanghai Electric Power Company; Shanghai 200120; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Sustainability,"Accurate multi-energy load forecasting is essential for the low-carbon, efficient, and resilient operation of park-level Integrated Energy Systems (PIESs), where cooling, heating, and electricity networks interact closely and increasingly incorporate renewable energy resources. However, forecasting in such systems remains challenging due to complex cross-energy coupling, high-dimensional feature interactions, and pronounced nonlinearities under diverse meteorological and operational conditions. To address these challenges, this study develops a novel three-stage hybrid forecasting framework that integrates Recursive Feature Elimination with Cross-Validation (RFECV), a Multi-Task Long Short-Term Memory network (MTL-LSTM), and Random Forest (RF). In the first stage, RFECV performs adaptive and interpretable feature selection, ensuring robust model inputs and capturing meteorological drivers relevant to renewable energy dynamics. The second stage employs MTL-LSTM to jointly learn shared temporal dependencies and...",2025/12/12,2025,10.3390/SU172411158,This project is supported by the Artificial Empowerment Research Leap Plan of the Shanghai Municipal Education Commission in China (No. Z2024-117).,,english,raw_data(CNKI).csv,10.3390/SU172411158,10.1016/j.energy.2025.137454,Designing personalized incentive-based demand response services based on
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,,2025/12/29,2025,10.1038/S41598-025-28907-5,Multimedia University,,english,CNKI-20260327180524663.csv,10.1038/S41598-025-28907-5,10.26914/c.cnkihy.2025.077503,人工智能在电力负荷预测中的应用研究
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,,2025/12/29,2025,10.1038/S41598-025-28907-5,Multimedia University,,english,CNKI-20260327180524663.csv,10.1038/S41598-025-28907-5,10.19651/j.cnki.emt.2519013,基于风光荷预测与DFT-MP-DBN建模的主动配电网可靠性评估
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,,2025/12/29,2025,10.1038/S41598-025-28907-5,Multimedia University,,english,CNKI-20260327180524663.csv,10.1038/S41598-025-28907-5,10.19912/j.0254-0096.tynxb.2023-1790,考虑分时电价下基于改进蛇算法的混合能源微电网群低碳经济优化调度研究
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,"Efficient and resilient electrical systems are vital for hospital operations, where uninterrupted power is critical for patient safety and clinical continuity. This study develops an AI-driven smart grid optimization framework for a tertiary hospital in Kuala Lumpur, Malaysia, integrating renewable generation, load forecasting, predictive maintenance, and HVAC energy optimization. A detailed survey of the hospital’s electrical infrastructure including 158,305 m2 of built-up area, 1,500 beds, and over 200 electrical appliances—was used to construct an appliance-level load model capturing both deterministic and stochastic energy behavior. Advanced Long Short-Term Memory (LSTM) forecasting and Reinforcement Learning (RL) algorithms were employed to predict dynamic load fluctuations, optimize renewable dispatch, and manage hospital load uncertainty arising from variable occupancy and equipment usage. The proposed HVAC energy efficiency strategy, incorporating adaptive set-point control, occupancy-based...",2025/12/29,2025,10.1038/S41598-025-28907-5,Multimedia University,,english,raw_data(CNKI).csv,10.1038/S41598-025-28907-5,10.27029/d.cnki.ggdgu.2025.000906,波浪发电系统功率预测与微电网调度优化
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,"Efficient and resilient electrical systems are vital for hospital operations, where uninterrupted power is critical for patient safety and clinical continuity. This study develops an AI-driven smart grid optimization framework for a tertiary hospital in Kuala Lumpur, Malaysia, integrating renewable generation, load forecasting, predictive maintenance, and HVAC energy optimization. A detailed survey of the hospital’s electrical infrastructure including 158,305 m2 of built-up area, 1,500 beds, and over 200 electrical appliances—was used to construct an appliance-level load model capturing both deterministic and stochastic energy behavior. Advanced Long Short-Term Memory (LSTM) forecasting and Reinforcement Learning (RL) algorithms were employed to predict dynamic load fluctuations, optimize renewable dispatch, and manage hospital load uncertainty arising from variable occupancy and equipment usage. The proposed HVAC energy efficiency strategy, incorporating adaptive set-point control, occupancy-based...",2025/12/29,2025,10.1038/S41598-025-28907-5,Multimedia University,,english,raw_data(CNKI).csv,10.1038/S41598-025-28907-5,10.1002/ENG2.70570,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy
外文期刊,DBSRad‐LSTM: DBSCAN Clustering for Load Forecasting in Microgrids Using Radial LSTM,Fazli khuda;Gan Zengkang;Razaz Waheeb Attar;Tariq Hussain;Khalid Zaman;Chen Wei;Majad Mansoor;Rahat Ullah;Salman Khan,Institute of Intelligent Manufacturing Technology;Shenzhen Polytechnic University;Shenzhen;Guangdong;China;Abasyn University Peshawar;Peshawar;KPK;Pakistan;Department of Management; College of Business Administration;Princess Nourah bint Abdulrahman University;Riyadh;Saudi Arabia;School of Computer Science and Technology;Zhejiang Gongshang University;Hangzhou;China;Shenzhen Institute of Advanced Technology;Chinese Academy of Sciences;Shenzhen;China;Department of Electrical Engineering;Federal Urdu University of Arts; Science; and Technology;Islamabad;Pakistan;School of Energy and Electrical Engineering;Changan University;Xian;Shaanxi;China,IET Renewable Power Generation,,2025/12/12,2025,10.1049/RPG2.70162,Princess Nourah bint Abdulrahman University Researchers Supporting Project(PNURSP2025R343);Key Area Special Project of Guangdong Provincial Department of Education(6022210111K);Post‐doctoral Foundation Project of Shenzhen Polytechnic University(6024331021K);Department of Education of Guangdong Province(2024GCZX014),,english,CNKI-20260327180524663.csv,10.1049/RPG2.70162,一种双阶段电力数据异常分析模型,一种双阶段电力数据异常分析模型
外文期刊,DBSRad‐LSTM: DBSCAN Clustering for Load Forecasting in Microgrids Using Radial LSTM,Fazli khuda;Gan Zengkang;Razaz Waheeb Attar;Tariq Hussain;Khalid Zaman;Chen Wei;Majad Mansoor;Rahat Ullah;Salman Khan,Institute of Intelligent Manufacturing Technology;Shenzhen Polytechnic University;Shenzhen;Guangdong;China;Abasyn University Peshawar;Peshawar;KPK;Pakistan;Department of Management; College of Business Administration;Princess Nourah bint Abdulrahman University;Riyadh;Saudi Arabia;School of Computer Science and Technology;Zhejiang Gongshang University;Hangzhou;China;Shenzhen Institute of Advanced Technology;Chinese Academy of Sciences;Shenzhen;China;Department of Electrical Engineering;Federal Urdu University of Arts; Science; and Technology;Islamabad;Pakistan;School of Energy and Electrical Engineering;Changan University;Xian;Shaanxi;China,IET Renewable Power Generation,,2025/12/12,2025,10.1049/RPG2.70162,Princess Nourah bint Abdulrahman University Researchers Supporting Project(PNURSP2025R343);Key Area Special Project of Guangdong Provincial Department of Education(6022210111K);Post‐doctoral Foundation Project of Shenzhen Polytechnic University(6024331021K);Department of Education of Guangdong Province(2024GCZX014),,english,CNKI-20260327180524663.csv,10.1049/RPG2.70162,10.19768/j.cnki.dgjs.2025.14.035,基于粒子群算法的微电网调度研究分析
外文期刊,DBSRad‐LSTM: DBSCAN Clustering for Load Forecasting in Microgrids Using Radial LSTM,Fazli khuda;Gan Zengkang;Razaz Waheeb Attar;Tariq Hussain;Khalid Zaman;Chen Wei;Majad Mansoor;Rahat Ullah;Salman Khan,Institute of Intelligent Manufacturing Technology;Shenzhen Polytechnic University;Shenzhen;Guangdong;China;Abasyn University Peshawar;Peshawar;KPK;Pakistan;Department of Management; College of Business Administration;Princess Nourah bint Abdulrahman University;Riyadh;Saudi Arabia;School of Computer Science and Technology;Zhejiang Gongshang University;Hangzhou;China;Shenzhen Institute of Advanced Technology;Chinese Academy of Sciences;Shenzhen;China;Department of Electrical Engineering;Federal Urdu University of Arts; Science; and Technology;Islamabad;Pakistan;School of Energy and Electrical Engineering;Changan University;Xian;Shaanxi;China,IET Renewable Power Generation,,2025/12/12,2025,10.1049/RPG2.70162,Princess Nourah bint Abdulrahman University Researchers Supporting Project(PNURSP2025R343);Key Area Special Project of Guangdong Provincial Department of Education(6022210111K);Post‐doctoral Foundation Project of Shenzhen Polytechnic University(6024331021K);Department of Education of Guangdong Province(2024GCZX014),,english,CNKI-20260327180524663.csv,10.1049/RPG2.70162,10.27034/d.cnki.ggxiu.2025.000594,考虑共享储能与综合需求响应协同的多区域风光微电网优化调度研究
